,Longitude,Latitude,CEC [cmol/kg]
544,-4.7834,37.7673,27.7
545,-4.9334,37.5173,22.9
546,-4.6668,37.5173,52.8
547,-4.2667,37.4673,22.1
548,-4.4667,37.3673,8.6
549,-4.3667,37.3173,16.9
550,-7.9975,43.6994,24.4
551,-8.117,43.6008,20.0
552,-7.9836,43.5841,18.3
553,-7.8336,43.5675,21.9
554,-8.0503,43.4841,28.6
555,-8.8337,43.2174,9.1
556,-8.767,43.2174,1.7
557,-8.3836,43.2841,2.1
558,-8.2003,43.3008,5.5
559,-8.2072,43.3105,21.5
560,-8.1336,43.3174,9.5
561,-8.0836,43.1841,22.7
562,-7.967,43.1841,1.1
563,-8.8337,43.1341,1.5
564,-8.7337,43.1174,15.1
565,-8.6837,43.0994,12.8
566,-8.5837,43.1341,99.5
567,-8.5003,43.1174,15.3
568,-8.3503,43.0674,18.3
569,-8.1336,43.1508,16.7
570,-8.0836,43.1341,1.1
571,-8.017,43.0674,4.1
572,-8.0003,43.0841,76.0
573,-9.0837,42.8508,30.2
574,-9.0504,42.8841,1.5
575,-9.017,42.9508,2.3
576,-8.8003,42.9341,40.0
577,-8.6503,42.9841,41.2
578,-8.717,42.8841,8.5
579,-8.6837,42.8841,5.7
580,-8.567,42.9008,15.8
581,-8.4503,42.9008,78.1
582,-8.367,42.8841,16.6
583,-8.1336,42.9341,41.1
584,-8.017,42.898,25.7
585,-8.867,42.7508,24.3
586,-8.7503,42.8008,3.0
587,-8.7003,42.8174,54.7
588,-8.7837,42.7841,5.1
589,-8.7003,42.7341,4.7
590,-8.4003,42.8008,26.8
591,-8.217,43.3091,22.1
592,-2.55,40.3507,25.4
593,-2.2333,40.4674,17.5
594,-1.8666,40.4007,8.8
595,-1.8499,40.384,25.3
596,-1.9166,40.384,15.9
597,-2.8333,40.2007,39.8
598,-2.55,40.2174,19.8
599,-2.0333,40.2507,21.3
600,-1.9166,40.2507,43.0
601,-1.9166,40.2174,19.3
602,-1.8333,40.2507,26.2
603,-3.0667,40.0507,9.5
604,-2.55,40.134,37.1
605,-2.5166,40.1174,30.6
606,-2.3666,40.084,21.1
607,-2.1,40.1674,32.3
608,-2.0333,40.1674,15.1
609,-2.0333,40.1673,8.5
610,-1.9499,40.034,21.1
611,-1.8999,40.034,33.7
612,-1.6666,40.1007,10.0
613,-1.6666,40.0507,18.5
614,-2.0333,39.884,3.3
615,-1.9833,39.9674,20.1
616,-1.9833,39.9507,28.1
617,-1.9333,39.984,26.0
618,-1.9333,39.9674,16.8
619,-1.6833,39.984,21.7
620,-2.9,39.8173,21.6
621,-2.7167,39.4673,13.8
622,-2.7833,40.284,8.8
623,-2.4333,40.2007,20.4
624,-1.7963,40.4118,18.1
625,-1.7708,40.2124,25.3
626,-1.7944,40.3813,9.5
627,2.1336,42.2341,15.9
628,2.4906,42.2144,17.2
629,2.7003,42.2841,19.0
630,2.6837,42.2674,21.1
631,2.2003,42.3174,13.5
632,2.5198,42.1521,7.5
633,2.5503,42.1507,62.8
634,2.4281,41.8424,16.9
635,2.4225,41.8396,7.3
636,2.7837,41.9841,18.8
637,2.7837,41.9507,11.7
638,2.7642,41.8368,20.5
639,3.017,41.9507,18.4
640,3.0337,41.9341,10.6
641,3.1672,41.9201,16.9
642,2.7156,41.7696,5.7
643,2.7503,42.1507,23.1
644,-2.55,37.6506,40.1
645,-2.45,37.7506,39.6
646,-2.4333,37.8173,11.6
647,-3.6,37.4228,15.0
648,-3.5667,37.4006,17.8
649,-3.3,37.4006,23.5
650,-2.7667,37.4839,14.0
651,-2.7667,37.3673,16.0
