,Longitude,Latitude,OM [%]
717,-2.2138,40.6924,13.8
718,-2.1861,40.7229,2.49
719,-2.1527,40.7979,10.9
720,-2.1277,40.659,4.23
721,-2.1166,40.6563,8.49
722,-3.325,41.6452,14.7
723,-3.3139,41.6396,19.1
724,-4.8695,40.4563,3.57
725,-2.3639,38.6562,5.97
726,-2.35,38.6423,6.14
727,-2.3666,38.6118,8.35
728,-2.38,38.5562,14.5
729,-2.4027,38.5395,13.4
730,-2.2889,38.4729,7.4
731,-2.6805,38.4201,3.21
732,-2.2666,38.134,3.5
733,-2.3,38.0951,15.6
734,-1.2999,39.034,7.83
735,-2.7667,39.0007,4.78
736,-2.05,38.3315,1.57
737,-4.6474,40.3297,3.11
738,-4.4445,40.7424,3.42
739,-4.9787,40.391,7.38
740,-5.1923,40.1812,7.27
741,-5.0196,41.0007,14.16
742,-4.5951,40.384,2.19
743,-4.8696,40.284,3.96
744,-4.4931,40.6001,8.05
745,-4.3844,40.5259,2.13
746,-4.9862,40.1673,1.04
747,-5.0362,40.234,6.55
748,-5.1779,40.2174,2.42
749,-4.7362,41.0174,0.07
750,-4.9362,40.2007,1.87
751,-5.2501,40.4507,3.46
752,-4.4612,40.5965,1.45
753,-4.3945,40.6257,9.5
754,-4.3444,40.5814,1.62
755,-4.3489,40.5759,2.25
756,-4.5001,40.7174,2.2
757,-4.1832,40.6738,2.76
758,-4.2014,40.6148,11.11
759,-4.4195,40.5479,2.3
760,-4.5529,40.3174,3.78
761,-4.8998,40.2499,5.44
762,-4.6836,40.3184,5.17
763,-4.9001,40.259,7.19
764,-4.9696,40.2507,4.58
765,-4.6146,40.194,3.79
766,-4.719,40.9757,0.32
767,-4.6861,40.9648,1.05
768,-5.5863,40.334,0.92
769,-4.3529,40.5707,3.59
770,-4.5001,40.5007,1.32
771,-4.6737,40.8257,2.92
772,-4.5668,40.3507,3.51
773,-5.0362,40.234,7.03
774,-5.2668,40.684,2.58
775,-4.9834,40.4007,2.72
776,-4.9862,40.3174,3.69
777,-4.6195,40.2049,1.29
778,-4.5001,40.384,8.2
779,-4.5001,40.334,3.0
780,-3.175,42.8341,4.68
781,-3.9028,41.6507,1.21
782,-3.3334,42.3674,8.11
783,-3.5417,42.0674,2.56
784,-3.3167,42.0174,4.54
785,-3.125,41.9341,4.16
786,-3.1333,42.3091,7.98
787,-3.1611,42.2881,40.99
788,-3.2195,42.3007,8.57
789,-3.4393,42.0626,5.31
790,-3.3806,41.8923,0.34
791,-2.9667,41.9674,1.63
792,-3.6583,41.9481,3.92
793,-3.1861,42.3341,6.99
794,-3.7336,42.6247,6.64
795,-3.1153,42.6675,4.26
796,-3.7483,42.6267,4.5
797,-4.7445,40.4618,6.57
798,-4.5325,40.3259,3.82
799,-4.5319,40.3148,5.3
800,-4.5258,40.3245,4.28
801,-5.0086,40.2759,1.68
802,-5.0097,40.3031,2.05
803,-4.5533,42.4822,2.44
804,-4.5889,42.4981,3.54
805,-4.7444,42.5314,1.63
806,-4.4755,42.5437,1.03
807,-4.5208,42.5336,1.09
808,-4.5472,42.5934,4.52
809,-4.5417,42.5892,1.61
810,-4.5361,42.5831,0.96
811,-4.8111,42.4675,3.08
812,-4.9181,42.687,2.87
813,-4.9078,42.6939,6.14
814,-5.2339,42.7818,2.86
815,-4.95,42.6481,2.69
816,-4.9167,42.6989,3.84
817,-4.8361,42.655,5.4
818,-5.2551,42.7363,3.89
819,-5.2584,42.7061,4.41
820,-5.7342,42.6856,4.58
821,-5.6922,42.7875,7.77
822,-5.6778,42.7858,7.05
823,-5.6931,42.7772,8.0
824,-5.6806,42.7884,0.65
825,-5.6805,42.7842,7.72
826,-4.0042,40.7877,7.23
827,-4.0112,40.7707,12.71
828,-4.049,40.7596,7.78
829,-4.0684,40.7735,8.84
830,-4.1421,40.6231,9.3
831,-4.1672,40.6008,5.27
832,-4.1357,40.63,10.41
833,-4.1538,40.65,2.82
834,-4.0276,40.7338,5.55
835,-4.0812,40.7315,5.89
