,Longitude,Latitude,Ca [mg/kg]
497,-2.3666,38.6118,3994.0
498,-2.38,38.5562,7698.0
499,-2.4027,38.5395,5532.0
500,-2.2889,38.4729,4088.0
501,-2.6805,38.4201,2699.0
502,-2.2666,38.134,4403.0
503,-2.3,38.0951,7146.0
504,-4.0042,40.7877,406.0
505,-4.0112,40.7707,2167.0
506,-4.049,40.7596,2500.0
507,-4.0684,40.7735,1596.0
508,-4.1421,40.6231,382.0
509,-4.1672,40.6008,2232.0
510,-4.1357,40.63,1502.0
511,-4.1538,40.65,1579.0
512,-4.0276,40.7338,2274.0
513,-4.0812,40.7315,740.0
514,-4.156,40.6045,1522.0
515,-4.199,40.5663,567.0
516,-4.1775,40.5818,1201.0
517,-4.1768,40.5773,2104.0
518,-4.1378,40.7088,759.0
519,-4.002,40.689,248.0
520,-4.0042,40.6901,343.0
521,-4.0565,40.7732,1674.0
522,-4.1349,40.6156,261.0
523,-4.114,40.641,1127.0
524,-4.0322,40.7328,1616.0
525,-4.0801,40.7438,1560.0
526,-4.1689,40.5976,1432.0
527,-4.0392,40.6926,989.0
528,-4.0161,40.5779,1447.0
529,-4.0051,40.6751,425.0
530,-3.9688,40.577,1107.0
531,-4.1118,40.614,1840.0
532,-4.0389,40.6899,1151.0
533,-4.0825,40.589,1752.0
534,-4.0101,40.6774,942.0
535,-3.9609,40.6036,1092.0
536,-3.9603,40.5581,2073.0
537,-4.0239,40.5094,1407.0
538,-4.0341,40.517,575.0
539,-3.9767,40.5517,1143.0
540,-3.9217,40.9318,487.0
541,-3.8385,40.8323,218.0
542,-3.8041,40.83,854.0
543,-3.7688,40.8537,312.0
544,-3.7762,40.8771,1033.0
545,-3.7864,40.9401,744.0
546,-3.6427,40.9436,362.0
547,-3.7987,40.9742,2500.0
548,-3.7475,41.0126,254.0
549,-3.8739,40.909,1895.0
550,-3.9601,40.816,103.0
551,-3.9139,40.8329,1089.0
552,-3.6753,41.0556,869.0
553,-3.8534,40.7867,428.0
554,-3.9992,40.8549,589.0
555,-4.0167,40.8674,172.0
556,-4.0462,40.8451,1734.0
557,-3.9072,41.018,746.0
558,-4.1794,40.7079,747.0
559,-3.8443,41.0047,319.0
560,-3.807,41.0237,1717.0
561,-3.8394,41.0622,839.0
562,-4.1256,40.7401,2337.0
563,-4.1278,40.7732,440.0
564,-4.1759,40.7066,2087.0
565,-4.0964,40.7785,397.0
566,-4.0937,40.7976,911.0
567,-4.187,40.7082,1459.0
568,-3.8394,41.0145,233.0
569,-3.7992,40.9978,208.0
570,-3.8114,41.0126,448.0
571,-3.6125,41.1507,316.0
572,-3.5939,41.1638,382.0
573,-3.6935,41.0861,366.0
574,-3.7124,41.0887,541.0
575,-3.6565,41.1548,1214.0
576,-3.6789,41.1083,687.0
577,-3.6843,41.1114,902.0
578,-3.6654,41.1318,483.0
579,-3.8608,41.0598,223.0
580,-3.8557,41.063,720.0
581,-4.0037,40.8821,1000.0
582,-4.0439,40.88,826.0
583,-0.1415,40.6896,8663.0
584,-0.2193,40.5535,12943.0
585,-0.2415,40.5701,6556.0
586,-0.2276,40.5396,6657.0
587,-0.3443,40.3229,5326.0
588,-0.3582,40.259,5265.0
589,-2.5166,38.3423,1525.0
590,-2.5833,38.3784,2699.0
591,-2.5166,38.309,2979.0
592,-2.5305,38.2729,6783.0
593,-2.6139,38.2562,7924.0
594,-2.5861,38.2534,7667.0
595,-2.5972,38.2423,6979.0
596,-2.6,38.2284,4941.0
597,-2.6305,38.2284,6636.0
598,-2.7528,38.0895,8698.0
599,-2.9528,37.9701,6722.0
600,-2.9167,37.9395,2445.0
601,-2.8028,37.9201,2594.0
602,-2.8361,37.8228,4065.0
603,-2.975,37.8562,2930.0
604,-2.9778,37.8395,5458.0
605,-3.0056,37.7562,6728.0
606,-2.9861,37.7117,11624.0
607,-2.55,37.9228,8805.0
608,-2.4944,37.9756,6848.0
609,-2.4389,38.0562,5586.0
610,-1.54,42.6916,2462.0
611,-1.1831,42.6541,2910.0
612,-1.5756,43.0009,177.0
613,-1.5698,42.9873,490.0
614,-1.5795,42.9929,782.0
615,-1.6166,43.0311,173.0
616,-1.6431,43.0436,180.0
617,-0.8324,42.9247,1950.0
618,-0.8335,42.9181,1925.0
619,-0.903,42.9365,1892.0
620,-0.8986,42.9214,1237.0
621,-2.0177,42.9731,1457.0
622,-2.0057,42.9604,2357.0
623,-1.9798,42.9665,1107.0
624,-1.9454,42.9698,1562.0
625,-1.8906,42.9513,1300.0
626,-1.8723,42.9421,765.0
627,-1.8878,43.0386,1418.0
628,-1.8815,43.0457,290.0
629,-1.5075,43.0775,348.0
630,-1.5338,43.0553,507.0
631,-1.6382,43.0548,135.0
632,-1.5875,43.0723,385.0
633,-1.4158,43.2023,182.0
634,-1.4448,43.2243,195.0
635,-1.4581,43.2335,30.0
636,-1.4132,43.1618,215.0
637,-1.4806,43.0231,4500.0
638,-1.5318,43.0373,313.0
639,-1.4305,43.0143,103.0
640,-1.1526,42.9931,273.0
641,-1.1837,42.9773,595.0
642,-1.2557,42.9028,345.0
643,-1.6612,43.0695,245.0
644,-1.6992,43.0753,552.0
645,-1.7271,43.1486,208.0
646,-1.7705,43.0716,265.0
647,-1.8053,43.1143,162.0
648,-1.8825,43.125,245.0
649,-1.0982,42.4456,4572.0
650,-0.8393,42.866,1852.0
651,-0.8374,42.8688,960.0
652,-2.1809,42.7826,3993.0
653,-2.2148,42.8063,1387.0
654,-2.238,42.8145,990.0
655,-1.2515,42.8767,955.0
656,-1.3111,42.9361,180.0
657,-1.3454,43.0302,327.0
658,-1.4029,42.9914,275.0
659,-1.3793,43.0001,300.0
660,-2.0636,42.7988,2540.0
661,-2.0511,42.7972,3367.0
662,-1.4493,42.6544,515.0
663,-1.0755,42.9855,1725.0
664,-1.0119,42.9638,943.0
665,-1.2038,42.9597,1194.0
666,-1.2633,42.9804,5885.0
667,-2.4623,42.6114,5642.0
668,-2.14,42.7364,5185.0
669,-2.2547,42.7462,543.0
670,-2.0354,42.7842,1963.0
671,-2.0625,42.9339,2155.0
672,-1.9383,42.9579,1945.0
673,-1.9998,42.8676,2495.0
674,-2.1039,42.864,2095.0
675,-1.7565,43.0366,778.0
676,-1.7537,42.9913,490.0
677,-1.8519,43.0508,6017.0
678,-1.8143,42.8388,9332.0
679,-1.8039,42.9333,1670.0
680,-2.0932,42.8417,4935.0
681,-1.2919,43.0105,362.0
682,-2.0966,42.9432,383.0
683,-1.7037,42.9772,318.0
684,-3.05,43.1341,1260.0
685,-3.0333,43.1174,2100.0
686,-2.5,42.5021,1920.0
687,-2.8333,43.0508,1340.0
688,-2.595,43.0236,580.0
689,-2.4166,42.5341,2280.0
690,-2.6333,42.9924,480.0
691,-2.5833,42.9508,760.0
692,-2.5833,42.8549,4900.0
693,-2.6333,42.8424,5720.0
694,-2.6333,42.5008,3720.0
695,-2.4975,42.9286,680.0
696,-2.4166,42.9341,2500.0
697,-2.7167,42.9341,4420.0
698,-2.55,42.823,4680.0
699,-2.4747,42.7347,2840.0
700,-2.4508,42.6852,660.0
701,-2.303,42.7924,1620.0
702,-2.2722,42.8102,2860.0
703,-2.7833,42.5827,1440.0
704,-2.6667,42.5846,5640.0
705,-2.6166,42.4994,660.0
706,-2.5666,42.5452,6980.0
707,-2.5,42.6016,1740.0
708,-2.4878,42.6222,600.0
709,-2.45,39.2507,5040.0
710,-2.4277,39.2498,1740.0
711,-2.3486,39.2396,2660.0
712,-2.45,39.0618,2480.0
713,-2.0166,39.0173,1580.0
714,-1.8333,38.9173,2700.0
715,-1.8944,38.7256,1960.0
716,-1.8999,38.734,2920.0
717,-1.7333,38.8006,2860.0
718,-2.6427,38.5734,3120.0
719,-2.6655,38.6005,5080.0
720,-2.6988,38.6908,740.0
721,-2.55,38.6506,2660.0
722,-2.55,38.5673,12000.0
723,-2.5,38.6173,7900.0
724,-2.4166,38.434,7700.0
725,-0.1498,38.8506,5720.0
726,-0.8166,38.7173,2120.0
727,-0.7832,38.734,4280.0
728,-0.5332,38.684,3920.0
