,Longitude,Latitude,Mg [mg/kg]
735,-0.8832,38.0173,927.0
736,-2.2333,37.8173,220.0
737,-2.2833,37.7006,317.0
738,-2.0666,37.734,122.0
739,-2.1333,37.5506,293.0
740,-2.5166,37.3506,439.0
741,-2.4166,37.4173,134.0
742,-2.35,37.4673,878.0
743,-2.2333,37.4339,61.0
744,-2.1387,37.3839,98.0
745,-2.0833,37.4839,73.0
746,-1.8999,37.5006,134.0
747,-2.0625,36.8006,1684.0
748,-2.8167,37.1673,305.0
749,-2.5666,37.3339,244.0
750,-2.5833,37.2339,85.0
751,-2.5166,37.2006,159.0
752,-2.45,37.3006,171.0
753,-2.3,37.2006,317.0
754,-2.2,37.1839,146.0
755,-1.8333,37.2339,232.0
756,-2.9167,37.0839,207.0
757,-2.9,37.0173,122.0
758,-2.7667,37.1173,256.0
759,-2.7333,37.0006,146.0
760,-2.5666,37.0339,37.0
761,-2.35,37.0839,98.0
762,-2.25,37.1506,146.0
763,-2.2333,37.0839,464.0
764,-2.1333,37.1506,110.0
765,-1.8833,37.0506,878.0
766,-1.8499,37.1673,817.0
767,-2.9833,36.9006,207.0
768,-2.9167,36.9673,61.0
769,-2.8833,37.0006,122.0
770,-2.8833,36.8673,647.0
771,-2.7667,36.9839,171.0
772,-2.7667,36.8839,732.0
773,-2.7167,36.8339,329.0
774,-2.5166,36.8839,1257.0
775,-2.4833,36.9506,488.0
776,-2.3333,37.0006,207.0
777,-2.2166,36.9173,317.0
778,-2.15,36.8673,342.0
779,-2.0833,36.8506,451.0
780,-1.9666,37.0006,781.0
781,-2.0333,36.8839,317.0
782,-3.1167,36.7673,122.0
783,-2.95,36.7506,110.0
784,-2.9333,36.8173,561.0
785,-2.7333,36.7673,598.0
786,-2.6833,36.7173,146.0
787,-2.6333,36.7506,378.0
788,-2.25,36.8339,256.0
789,-2.2,36.7673,268.0
790,-2.2333,36.7839,708.0
791,-2.0666,36.8173,451.0
792,-6.9836,43.5175,793.0
793,-6.6835,43.5341,73.0
794,-5.7668,43.5675,232.0
795,-6.9169,43.3841,378.0
796,-6.5002,43.4175,12.0
797,-6.2669,43.4508,61.0
798,-5.8835,43.4175,305.0
799,-5.4335,43.4341,73.0
800,-5.0334,43.4175,159.0
801,-4.7001,43.3675,500.0
802,-6.9336,43.1841,305.0
803,-5.7335,43.2174,293.0
804,-6.6335,43.3174,317.0
805,-6.6335,43.2508,500.0
806,-6.3669,43.3008,232.0
807,-6.2835,43.2174,317.0
808,-6.1002,43.2341,159.0
809,-5.9168,43.2341,146.0
810,-5.6502,43.2341,146.0
811,-5.5335,43.2841,305.0
812,-5.4835,43.3174,171.0
813,-5.3668,43.2341,195.0
814,-5.1001,43.3174,37.0
815,-5.0835,43.3008,732.0
816,-5.0001,43.2841,73.0
817,-4.8001,43.2508,500.0
818,-6.7502,43.1008,207.0
819,-6.6335,43.0341,134.0
820,-6.4502,43.0674,329.0
821,-6.0502,43.1341,366.0
822,-5.9668,43.0841,110.0
823,-5.6835,43.1174,769.0
824,-5.4335,43.0674,342.0
825,-5.1335,43.1508,183.0
826,-6.7002,42.9341,85.0
