,Longitude,Latitude,Carb [%]
622,-0.5499,40.884,46.5
623,-0.1165,40.884,52.9
624,-0.0665,40.784,8.4
625,-0.1332,40.8507,36.4
626,-0.7727,40.8157,19.2
627,-0.7704,40.8149,16.3
628,-0.7035,40.7674,6.9
629,-0.0998,40.8007,50.2
630,-0.0665,40.7674,59.0
631,-0.4999,40.534,28.5
632,-0.2998,40.5174,5.7
633,-1.5499,40.634,62.8
634,-1.6666,40.534,6.2
635,-0.8666,40.6507,23.3
636,-0.6499,40.534,24.4
637,-0.5999,40.5174,5.0
638,-1.4332,40.284,43.0
639,-1.4166,40.2007,4.1
640,-0.5999,40.284,2.2
641,-0.4665,40.3007,2.6
642,-0.2998,40.7174,48.0
643,-0.1832,40.834,40.0
644,-0.7688,40.8026,20.3
645,-0.7821,40.8046,19.3
646,-0.7777,40.7888,3.3
647,-0.7079,40.7693,12.6
648,-3.8,40.0507,2.6
649,-3.8,40.0174,9.2
650,-3.5667,39.984,25.4
651,-3.7167,39.9174,3.9
652,-3.6334,39.8507,21.9
653,-3.4667,39.9507,17.7
654,-3.3167,39.934,35.2
655,-3.4834,39.884,32.2
656,-3.2833,39.884,16.8
657,-3.55,39.8173,13.9
658,-3.7334,39.7007,4.4
659,-3.3667,39.784,13.3
660,-3.25,39.734,12.2
661,-3.4167,39.6673,0.2
662,-3.1167,39.784,67.0
663,-3.4167,39.6507,16.9
664,-3.6834,39.684,24.4
665,-3.7167,39.684,7.8
666,-3.3667,39.8507,16.3
667,-3.4334,39.634,48.4
668,-1.4499,40.134,19.8
669,-0.9332,39.8507,3.1
670,-1.2499,39.734,15.5
671,-1.0832,39.734,17.2
672,-1.1832,39.8173,4.0
673,-0.7165,39.7007,39.8
674,-0.6999,39.784,48.4
675,-0.4832,39.7007,7.7
676,-0.2498,39.7173,12.4
677,-0.1998,39.7007,30.9
678,-1.4332,39.5673,14.0
679,-1.1999,39.6007,52.1
680,-1.2166,39.534,25.2
681,-1.1332,39.484,25.8
682,-1.1666,39.6673,2.1
683,-0.9499,39.5507,2.7
684,-0.7999,39.6507,3.7
685,-0.8666,39.5173,11.8
686,-0.6999,39.534,37.9
687,-0.5999,39.7007,17.5
688,-0.5832,39.5673,38.9
689,-0.4332,39.584,16.3
690,-0.4332,39.5673,7.5
691,-0.3165,39.6007,18.1
692,-0.2832,39.584,43.8
693,-1.0999,39.4007,32.0
694,-1.0416,39.3882,30.0
695,-0.5499,38.8173,41.1
696,-0.5999,39.384,54.0
697,-0.6332,39.484,23.5
698,-0.5332,39.484,16.6
699,-0.4332,39.4507,13.0
700,-0.4499,39.334,10.8
701,-0.3165,39.3507,18.5
702,-0.5499,39.2673,36.1
703,-0.5165,38.7506,7.5
704,-0.3165,39.184,38.4
705,-1.2166,39.0673,8.0
706,-1.1999,39.0673,20.0
707,-1.0666,39.1007,95.0
708,-1.1832,39.034,40.0
709,-0.9666,39.1507,5.7
710,-0.8332,39.084,54.1
711,-0.6665,39.084,2.9
712,-0.5165,39.0173,33.9
713,-0.5999,38.7673,8.4
714,-0.2524,39.1015,35.2
715,-0.8832,38.934,25.6
716,-0.8166,38.834,56.6
717,-0.6832,38.984,50.0
718,-0.5665,38.9507,0.8
719,-0.5665,38.8506,47.0
720,-0.1998,38.884,2.0
721,-0.0332,38.8673,18.7
722,-0.0665,38.884,54.8
723,-0.8499,38.834,56.6
724,-0.6665,38.8006,41.3
725,-5.1501,42.1841,8.6
726,-5.2501,42.1674,3.1
727,-4.9834,42.0174,14.5
728,-5.2335,41.9841,0.4
729,-5.3001,41.9007,1.1
730,-4.9668,41.9174,9.6
731,-4.8501,41.8841,1.4
732,-5.3335,41.7841,3.4
733,-5.2168,41.7507,1.0
734,-4.7168,41.7841,3.5
735,-4.6834,41.8007,10.6
736,-4.6334,41.8174,5.8
737,-4.6168,41.8007,18.7
738,-4.6334,41.7507,6.0
739,-4.6001,41.7507,50.5
740,-4.3167,41.7507,23.9
741,-4.1501,41.7841,10.4
742,-4.1334,41.7341,47.8
743,-4.1001,41.7174,5.7
744,-4.9668,41.5174,11.9
745,-4.5001,41.6341,11.5
746,-4.5001,41.5841,0.5
747,-4.4501,41.6007,3.3
748,-4.4668,41.5674,0.9
749,-4.3667,41.6174,32.8
750,-4.2001,41.5674,8.7
751,-4.5334,41.3674,26.2
752,-5.0501,41.234,0.8
753,-3.1861,43.2027,0.4
754,-2.8667,43.2841,13.3
755,-2.8944,43.2891,3.1
756,-2.8055,43.3077,0.7
757,-5.6668,41.8007,0.6
758,-5.7668,41.5507,7.0
759,-5.3835,41.6507,4.0
760,-1.2499,42.1174,33.5
761,-1.1166,42.1174,44.9
762,-1.7499,41.9174,32.0
763,-1.7333,41.9507,36.9
764,-1.6999,41.9007,44.0
765,-1.6833,41.9007,41.1
766,-1.7499,41.8841,26.6
767,-1.6999,41.8716,24.9
768,-1.6824,41.8938,37.8
769,-0.5499,41.8007,48.6
770,-0.5332,41.7507,37.4
771,-5.1201,42.4608,1.1
772,-3.47,42.4808,25.6
773,-3.35,42.4908,1.3
774,-3.11,42.5208,2.2
775,-2.59,42.5308,1.3
776,-4.4401,42.3208,0.3
777,-4.3201,42.3408,1.2
778,-2.0999,42.4908,10.6
779,-4.1801,42.2708,44.0
780,-2.56,42.3608,2.4
781,-1.4399,42.4308,7.0
782,-1.3099,42.3608,11.1
783,-1.1899,42.3708,1.5
784,-0.3198,42.4108,1.0
785,-0.1998,42.4208,0.5
786,-5.4801,41.5807,1.0
787,-2.52,42.1907,2.3
788,-1.1799,42.2908,12.9
789,-1.0599,42.3007,25.8
790,-3.02,42.1007,22.7
791,-1.0399,42.2207,20.3
792,-0.5199,42.2307,31.3
793,-0.1698,42.2607,5.3
794,-0.0498,42.2707,1.2
795,-6.0602,41.3807,58.7
796,-2.25,42.0507,33.5
797,-1.3799,42.1007,37.7
798,-1.0299,42.1307,20.0
799,-0.5099,42.1407,2.3
800,-0.1498,42.1707,37.3
801,0.0702,42.1907,22.4
802,0.1902,42.2007,1.7
803,0.3102,42.2107,20.2
804,-2.23,41.5707,43.0
805,0.3202,42.1307,46.6
806,0.4402,42.1407,1.8
807,1.0802,42.1507,1.5
808,1.3102,42.1707,45.2
809,2.1903,42.2007,12.2
810,-3.55,41.3807,10.1
811,-3.08,41.4307,56.4
812,-2.57,41.4507,35.6
813,-0.9999,41.5607,35.4
814,0.3302,42.0407,0.3
815,1.0902,42.0707,22.6
816,1.2102,42.0807,16.3
817,1.3202,42.0807,4.2
818,1.4403,42.0907,28.2
819,1.5603,42.1007,8.5
820,2.3203,42.1207,32.7
821,-2.32,41.3907,1.8
822,-2.0799,41.4107,25.6
823,0.2302,41.5507,45.5
824,0.3502,41.5607,22.1
825,0.5802,41.5807,36.9
826,1.1002,41.5807,31.1
827,1.2202,41.5907,30.7
828,1.3402,42.0007,20.2
829,1.4503,42.0107,15.8
830,1.5703,42.0207,12.0
831,2.0903,42.0207,4.4
832,2.4403,42.0407,19.6
833,-4.0301,41.2007,46.1
834,1.3502,41.5207,16.6
835,1.4603,41.5207,21.7
836,1.5803,41.5307,27.2
837,2.1003,41.5407,0.3
