,Longitude,Latitude,TOC [%]
522,-2.004,43.0623,7.34
523,-1.902,43.2031,3.17
524,-1.902,43.2053,5.21
525,-1.8578,43.167,4.99
526,-1.682,43.2442,7.7
527,-1.7208,43.262,9.16
528,-1.6833,43.2531,1.98
529,-1.6608,43.2933,3.95
530,-1.6522,43.2597,5.83
531,2.8203,42.216,2.5
532,2.742,42.1396,2.16
533,3.0003,42.1202,1.88
534,2.9962,42.0574,2.02
535,3.174,41.8827,1.45
536,2.1684,41.9174,4.96
537,2.0114,41.9118,3.5
538,1.7475,41.6841,3.36
539,2.0892,41.6257,2.55
540,2.035,41.6049,1.24
541,2.1636,41.7007,2.41
542,2.1892,41.6424,2.62
543,2.2072,41.6035,0.94
544,1.5058,41.4729,3.17
545,1.5669,41.4882,0.63
546,1.4919,41.4479,3.79
547,1.8753,41.3313,3.38
548,1.9031,41.3146,23.31
549,1.8775,41.3299,0.8
550,1.4016,41.4563,2.42
551,1.3975,41.4646,3.47
552,1.3786,41.4224,3.7
553,0.7766,41.009,3.38
554,0.7724,41.009,0.76
555,-0.861,41.9938,3.05
556,-0.8527,41.9841,3.66
557,-1.0544,41.3398,2.16
558,-0.8999,41.4604,3.47
559,-0.0665,41.3591,4.09
560,-0.0693,41.3424,5.13
561,-0.5249,41.7674,2.51
562,-0.5443,41.7757,2.59
563,-0.3776,41.7007,2.52
564,-0.3971,41.7174,1.66
565,0.853,41.4702,1.66
566,0.8502,41.4646,2.26
567,0.8808,41.4535,0.79
568,-0.4193,41.1202,4.21
569,-0.3499,41.009,3.27
570,-0.1748,40.9229,2.86
571,0.1002,40.8507,1.81
572,0.0863,40.8646,2.83
573,-0.0248,40.8007,0.98
574,-0.0526,40.7952,2.72
575,-0.0776,40.784,1.9
576,-0.911,42.1341,1.77
577,-0.9319,42.2559,1.33
578,2.1855,42.3009,2.2
579,2.0692,42.2599,4.66
580,2.1142,42.2994,1.92
581,2.1281,42.298,0.69
582,2.1281,42.2835,2.38
583,2.1781,41.9118,3.5
584,2.1809,41.9118,2.62
585,2.2114,41.9618,1.29
586,2.3289,41.8993,0.47
587,2.4198,41.951,0.08
588,2.417,41.9355,0.28
589,2.4031,41.9591,0.41
590,2.0086,42.2341,3.53
591,2.0156,42.2327,2.78
592,1.86,42.2507,23.44
593,1.7578,42.2196,4.77
594,1.7286,42.2341,10.2
595,1.678,42.2257,3.67
596,1.2614,42.3341,4.14
597,1.7483,42.3285,1.98
598,1.7905,42.3341,4.8
599,1.3378,42.428,3.73
600,1.3169,42.4299,2.42
601,1.1794,42.448,8.74
602,1.3244,42.5952,4.07
603,1.3419,42.5377,4.49
604,0.2307,42.6346,12.37
605,-0.0717,42.6481,2.76
606,0.1991,42.6327,3.45
607,-0.6561,42.7453,3.77
608,-0.7195,42.7258,3.3
609,-0.795,42.7425,4.42
610,-0.8272,42.7356,2.2
611,-0.8625,42.9217,3.31
612,-1.0728,42.8953,1.21
613,-1.1389,42.9264,3.24
614,-1.4249,42.9437,5.05
615,-1.3706,42.8453,2.8
616,-1.1272,42.7036,1.75
617,-1.1939,42.7461,2.8
618,-1.0111,42.6617,2.52
619,-0.927,42.6642,4.71
620,-0.9792,42.4353,1.49
621,-0.9914,42.3814,1.56
622,-0.5292,42.5267,1.75
623,-0.6221,42.3494,9.95
624,-1.6583,40.4618,4.1
625,-1.6633,40.4945,6.75
626,-1.6328,40.5287,3.69
627,-1.6256,40.3878,1.27
628,-1.4416,40.2785,1.86
629,1.0872,41.3591,3.17
630,1.0511,41.3368,2.28
631,0.2974,40.7118,6.67
632,0.246,40.7474,9.14
633,-0.6889,40.4003,3.3
634,-0.6972,40.4076,4.34
635,-0.8416,40.4062,2.65
636,2.1503,41.4202,2.06
637,2.4059,41.5852,1.03
638,2.3975,41.5868,1.79
639,2.4086,41.5743,1.1
640,2.3734,41.6231,1.06
641,2.3531,41.6285,3.7
642,2.3684,41.6266,1.32
643,2.7309,41.7332,0.98
644,2.7239,41.6646,1.24
645,2.3856,41.9327,1.58
646,2.3036,41.8757,0.81
647,2.4475,41.7507,2.74
648,2.3836,41.7549,1.67
649,2.7225,41.8507,1.49
650,2.7003,41.871,0.78
651,2.6239,41.7924,2.02
652,2.8328,41.8446,0.55
653,2.6975,41.7466,0.76
654,3.1017,41.9652,0.78
655,3.192,41.9907,0.3
656,2.5525,41.8152,1.77
657,2.6753,42.1424,3.85
658,2.8339,42.2096,2.28
659,3.0651,41.8091,1.38
660,3.0434,41.7932,1.17
661,-1.4464,41.2995,1.66
662,-1.4369,41.2809,1.51
663,-1.4172,41.2964,2.53
664,-1.1014,41.1773,3.16
665,-1.0903,41.1953,6.46
666,-0.6911,40.2413,2.03
667,-0.7695,40.2699,1.32
668,-0.8125,40.3523,1.35
669,-1.2589,40.3517,1.76
670,-1.3883,40.5023,2.58
671,-1.3742,40.3931,2.04
672,2.9337,41.9507,2.61
673,2.8837,42.0007,2.47
674,1.8308,42.3507,2.15
675,2.5725,41.8604,2.19
676,3.1837,42.0841,2.22
677,-0.4526,42.3341,3.08
678,0.353,42.6674,3.43
679,-0.5332,42.4508,0.43
680,-0.286,42.6841,23.36
681,0.0335,42.6008,1.92
682,-0.5832,42.6841,2.55
683,-0.2526,42.6341,0.39
684,-0.2998,42.2341,2.73
685,0.6697,42.7841,7.9
686,0.8502,42.5174,3.28
687,-1.4249,40.0229,0.98
688,-1.511,39.9729,1.76
689,-1.6027,40.0896,6.63
690,-1.6305,40.0285,8.02
691,-1.8083,39.7896,2.39
692,-1.8333,39.7868,5.01
693,-1.9249,39.8757,11.98
694,-2.1,39.8562,2.6
695,-2.2472,39.9731,2.71
696,-2.0416,40.0229,7.09
697,-2.0416,40.0285,4.58
698,-2.3944,40.0729,6.51
699,-2.0444,40.1229,1.84
700,-2.0456,40.0495,4.26
701,-2.1861,40.1868,4.01
702,-1.9249,40.2257,8.37
703,-2.0138,40.259,8.26
704,-1.8333,40.3701,3.37
705,-1.8833,40.3896,4.33
706,-2.1583,40.3868,4.19
707,-2.2611,40.4451,1.42
708,-2.1583,40.459,2.83
709,-2.0916,40.4951,2.05
710,-2.0111,40.5896,5.17
711,-2.1027,40.5896,5.23
712,-2.0805,40.5868,7.44
713,-2.2777,40.5729,4.23
714,-2.1861,40.609,2.91
715,-2.25,40.7257,2.34
716,-2.3639,40.6424,4.62
717,-2.2138,40.6924,8.02
718,-2.1861,40.7229,1.45
719,-2.1527,40.7979,6.34
720,-2.1277,40.659,2.46
721,-2.1166,40.6563,4.94
722,-3.325,41.6452,8.55
723,-3.3139,41.6396,11.1
724,-4.8695,40.4563,2.08
725,-2.3639,38.6562,3.47
726,-2.35,38.6423,3.57
727,-2.3666,38.6118,4.85
728,-2.38,38.5562,8.43
729,-2.4027,38.5395,7.79
730,-2.2889,38.4729,4.3
731,-2.6805,38.4201,1.87
732,-2.2666,38.134,2.03
733,-2.3,38.0951,9.07
734,-1.2999,39.034,4.55
735,-2.7667,39.0007,2.78
736,-2.05,38.3315,0.91
737,-4.6474,40.3297,1.81
738,-4.4445,40.7424,1.99
739,-4.9787,40.391,4.29
740,-5.1923,40.1812,4.23
741,-5.0196,41.0007,8.23
742,-4.5951,40.384,1.27
743,-4.8696,40.284,2.3
744,-4.4931,40.6001,4.68
745,-4.3844,40.5259,1.24
746,-4.9862,40.1673,0.6
747,-5.0362,40.234,3.81
748,-5.1779,40.2174,1.41
749,-4.7362,41.0174,0.04
750,-4.9362,40.2007,1.09
751,-5.2501,40.4507,2.01
752,-4.4612,40.5965,0.84
753,-4.3945,40.6257,5.52
754,-4.3444,40.5814,0.94
755,-4.3489,40.5759,1.31
756,-4.5001,40.7174,1.28
757,-4.1832,40.6738,1.6
758,-4.2014,40.6148,6.46
759,-4.4195,40.5479,1.34
760,-4.5529,40.3174,2.2
761,-4.8998,40.2499,3.16
762,-4.6836,40.3184,3.01
763,-4.9001,40.259,4.18
764,-4.9696,40.2507,2.66
765,-4.6146,40.194,2.2
766,-4.719,40.9757,0.19
767,-4.6861,40.9648,0.61
768,-5.5863,40.334,0.53
769,-4.3529,40.5707,2.09
770,-4.5001,40.5007,0.77
771,-4.6737,40.8257,1.7
772,-4.5668,40.3507,2.04
773,-5.0362,40.234,4.09
774,-5.2668,40.684,1.5
775,-4.9834,40.4007,1.58
776,-4.9862,40.3174,2.15
777,-4.6195,40.2049,0.75
778,-4.5001,40.384,4.77
779,-4.5001,40.334,1.74
780,-3.175,42.8341,2.72
781,-3.9028,41.6507,0.7
782,-3.3334,42.3674,4.72
783,-3.5417,42.0674,1.49
784,-3.3167,42.0174,2.64
785,-3.125,41.9341,2.42
786,-3.1333,42.3091,4.64
787,-3.1611,42.2881,23.83
788,-3.2195,42.3007,4.98
789,-3.4393,42.0626,3.09
790,-3.3806,41.8923,0.2
791,-2.9667,41.9674,0.95
792,-3.6583,41.9481,2.28
793,-3.1861,42.3341,4.06
794,-3.7336,42.6247,3.86
795,-3.1153,42.6675,2.48
796,-3.7483,42.6267,2.62
797,-4.7445,40.4618,3.82
798,-4.5325,40.3259,2.22
799,-4.5319,40.3148,3.08
800,-4.5258,40.3245,2.49
801,-5.0086,40.2759,0.98
802,-5.0097,40.3031,1.19
803,-4.5533,42.4822,1.42
804,-4.5889,42.4981,2.06
805,-4.7444,42.5314,0.95
806,-4.4755,42.5437,0.6
807,-4.5208,42.5336,0.63
808,-4.5472,42.5934,2.63
809,-4.5417,42.5892,0.94
810,-4.5361,42.5831,0.56
811,-4.8111,42.4675,1.79
812,-4.9181,42.687,1.67
813,-4.9078,42.6939,3.57
814,-5.2339,42.7818,1.66
815,-4.95,42.6481,1.56
816,-4.9167,42.6989,2.23
817,-4.8361,42.655,3.14
818,-5.2551,42.7363,2.26
819,-5.2584,42.7061,2.56
820,-5.7342,42.6856,2.66
821,-5.6922,42.7875,4.52
822,-5.6778,42.7858,4.1
823,-5.6931,42.7772,4.65
824,-5.6806,42.7884,0.38
825,-5.6805,42.7842,4.49
826,-4.0042,40.7877,4.2
827,-4.0112,40.7707,7.39
828,-4.049,40.7596,4.52
829,-4.0684,40.7735,5.14
830,-4.1421,40.6231,5.41
831,-4.1672,40.6008,3.06
832,-4.1357,40.63,6.05
833,-4.1538,40.65,1.64
834,-4.0276,40.7338,3.23
