,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
485,34722690,,,,7.4,7.82,15.08,15.5,214,32.0,2.7,303.5,46.747858897,-1.148041174,2015-08-06,2015-07-20,2015-08-23,1267,1122,1188,1393,1519,1776,1989,1876,2113,476,14,2640,1864,0.14775160599571735
486,40062822,,,,5.9,6.24,6.47,12.6,0,19.7,1.6,153.4,48.42965003,5.7425185039999995,2015-08-06,2015-07-20,2015-08-23,1319,1219,1328,1712,1765,2025,2240,2221,2347,588,14,2945,2296,0.1294177472667175
487,34302684,,,,5.7,5.95,18.98,13.2,0,31.6,1.7,106.9,46.63656555,-1.679898614,2015-08-10,2015-07-24,2015-08-27,1377,1573,1687,2123,2133,2419,2718,2669,3032,556,17,3817,2914,0.1139398998330551
488,35882622,,,,6.0,6.23,19.77,16.6,0,33.0,1.8,192.3,46.287353038,0.46905118799999995,2015-07-30,2015-07-13,2015-08-16,1529,1665,1774,2420,2444,2978,3490,3508,3997,836,15,4024,2553,0.18353576248313092
489,34802712,,,,5.7,6.03,5.94,16.9,0,54.8,1.9,95.8,46.954160439,-1.085768433,2015-07-23,2015-07-06,2015-08-09,7388,7633,7493,8274,8607,9005,9380,9049,9723,5656,257,7775,5970,0.04473820931709288
490,39182722,,,,7.4,7.72,37.4,32.7,191,24.7,4.0,322.0,47.480518346000004,4.651518454,2015-09-03,2015-08-17,2015-09-20,1374,1243,1296,1585,1743,2142,2320,2297,2622,759,13,3053,2111,0.18341061308603812
491,34482660,,,,7.3,7.62,10.67,16.3,10,79.5,2.1,242.3,46.448542984,-1.401014983,2015-07-09,2015-06-22,2015-07-26,2636,2597,2443,2498,2616,3180,3562,3579,3811,1316,467,2802,2020,0.17788382425538918
492,38822718,,,,5.2,5.56,17.69,10.5,0,9.6,1.4,71.8,47.420210228,4.179443989,2015-09-16,2015-08-30,2015-10-03,3258,3591,3214,3246,3617,4236,4518,4816,4803,2447,84,4358,3659,0.19474075911684446
493,38922722,,,,5.0,5.3,45.8,25.6,1,93.6,3.3,108.9,47.463081228,4.307618078,2015-09-16,2015-08-30,2015-10-03,5365,5110,5226,5667,5938,6719,7081,7195,7415,4185,117,6633,5487,0.11879956460892552
494,39122694,,,,5.0,5.38,21.2,13.6,0,36.9,1.8,101.7,47.225327368,4.598359745,2015-09-02,2015-08-16,2015-09-19,1350,1205,1186,1380,1547,1776,1982,1918,2256,582,15,3559,2529,0.16312916919345058
495,35842622,,,,4.8,5.14,13.94,9.3,0,77.5,1.0,85.7,46.282730339,0.417540165,2015-08-03,2015-07-17,2015-08-20,1606,1602,1629,1969,1884,2255,2612,2652,2941,518,19,3162,2292,0.14780350573468945
