,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Fecha,FechaAntes,FechaDespues,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
10,33402058,16.0,53.0,31.0,5.8,6.13,7.86,5.5,0,62.5,0.7,234.7,40.939914725,-1.6493729469999998,2015-07-22,2015-07-05,2015-08-08,1357,1451,1691,2269,2200,2433,2723,2882,2939,1013,16,3630,2647,0.11900601824888371
11,33582148,32.0,21.0,47.0,7.5,7.9,20.0,14.9,588,12.4,1.9,122.3,41.76770343,-1.5888827580000002,2015-07-14,2015-06-27,2015-07-31,1706,1798,2013,2472,2454,3028,3267,3346,3646,820,14,3909,2953,0.15022344448264008
12,33462052,33.0,21.0,46.0,7.5,7.82,20.5,19.5,11,0.0,2.4,444.2,40.89466085,-1.56906407,2015-07-22,2015-07-05,2015-08-08,1362,1291,1471,1947,2087,2449,2679,2708,2975,1015,16,3914,2854,0.16348012889366273
13,30441944,23.0,48.0,29.0,4.9,5.38,5.36,12.6,0,0.0,1.2,57.8,39.459341839000004,-4.858951215,2015-07-13,2015-06-26,2015-07-30,1303,1238,1397,1979,2242,2545,2809,2669,3134,1256,17,3876,2848,0.14845094664371772
14,33021926,30.0,33.0,38.0,7.6,7.87,14.5,16.4,386,9.7,1.6,474.1,39.708266498,-1.871334777,2015-07-21,2015-07-04,2015-08-07,1630,1715,2056,2807,2964,3268,3558,3540,3903,1270,24,5123,3753,0.11548763195210336
15,32601818,23.0,60.0,17.0,6.9,7.37,6.9,9.8,1,13.5,0.9,73.6,38.683431977,-2.172716049,2015-07-31,2015-07-14,2015-08-17,1445,1444,1634,2165,2528,2852,3112,2794,3381,908,16,3565,2334,0.12684008872756605
16,32661818,18.0,34.0,48.0,7.2,7.56,17.12,49.2,477,8.7,3.7,459.7,38.692057929,-2.1047957530000003,2015-07-31,2015-07-14,2015-08-17,1455,1304,1371,1642,2032,2336,2536,2326,2788,684,16,3843,2885,0.17237903225806453
17,32701818,30.0,23.0,48.0,7.5,7.84,22.0,32.0,375,10.1,3.1,561.2,38.69778196,-2.059507094,2015-07-31,2015-07-14,2015-08-17,1508,1349,1407,1705,1844,2073,2303,2264,2569,675,16,3756,2606,0.14084152179390275
18,32641826,23.0,46.0,31.0,7.5,7.95,17.57,21.1,623,11.9,0.9,258.4,38.760690105,-2.140556934,2015-08-02,2015-07-16,2015-08-19,1584,1598,1875,2559,2879,3194,3462,3143,3694,1064,16,4328,3017,0.10242020343739039
19,34082276,27.0,10.0,62.0,4.5,4.73,37.9,39.7,1,9.1,3.5,119.2,42.977042491000006,-1.206972701,2015-07-19,2015-07-02,2015-08-05,4144,3431,3231,3268,3295,4159,4688,4340,4991,1161,16,3525,2430,0.14090431125131442
20,33762004,26.0,39.0,35.0,7.6,7.98,21.3,15.3,551,13.8,1.5,277.4,40.506457488,-1.140800054,2015-06-19,2015-06-02,2015-07-06,1778,1748,1927,2400,2641,3095,3347,3288,3671,1355,183,3903,2902,0.15611814345991562
21,33722000,23.0,41.0,36.0,7.6,8.02,22.0,12.9,562,10.7,1.7,266.9,40.465390911,-1.1810579509999999,2015-06-19,2015-06-02,2015-07-06,1914,1782,1884,2328,2552,2947,3220,3058,3399,1330,281,3625,2858,0.13553657630894914
22,32602088,38.0,15.0,48.0,7.4,7.74,21.5,23.2,111,15.8,1.4,774.6,41.091570777,-2.6399965880000003,2015-07-22,2015-07-05,2015-08-08,1464,1523,1728,2414,2609,2916,3162,3174,3527,1167,17,4277,3128,0.13600572655690765
23,28261904,6.0,82.0,12.0,4.7,5.3,6.54,7.3,0,8.6,0.9,75.4,38.691746351,-7.2371262960000005,2015-07-21,2015-07-04,2015-08-07,1408,1358,1429,1946,2110,2358,2693,2773,3180,1021,16,4542,2876,0.1752489934308116
24,28361904,22.0,38.0,40.0,7.1,7.49,30.3,20.2,114,74.0,2.3,660.0,38.712051359,-7.124899532000001,2015-07-21,2015-07-04,2015-08-07,1271,1143,1273,1726,2044,2428,2672,2427,2958,857,16,3476,2804,0.16879364314953046
