,Longitude,Latitude,Na [mg/kg]
717,-4.5498,36.9517,23.0
718,-4.5568,36.9539,23.0
719,-1.2999,38.584,23.0
720,-1.7874,38.3109,69.0
721,-1.051,38.3254,644.0
722,-2.2833,38.0173,483.0
723,-1.4663,38.1359,115.0
724,-1.1332,38.1006,23.0
725,-1.4666,37.984,69.0
726,-1.4166,37.9673,161.0
727,-1.3666,37.934,161.0
728,-1.0666,37.8673,92.0
729,-1.1499,37.9506,92.0
730,-1.6999,37.7173,230.0
731,-1.6499,37.7673,322.0
732,-1.5333,37.7006,391.0
733,-1.6249,37.4839,23.0
734,-1.2827,37.6659,299.0
735,-1.0735,37.7692,46.0
736,-1.0166,37.6839,69.0
737,-0.9332,37.834,161.0
738,-0.8166,37.6506,667.0
739,-1.7999,37.6673,92.0
740,-1.7666,37.6006,299.0
741,-1.7699,37.6403,345.0
742,-1.6999,37.6339,368.0
743,-1.6916,37.5839,161.0
744,-1.4332,37.6006,621.0
745,-1.1832,37.6506,575.0
746,-0.7332,37.6339,23.0
747,-2.0666,38.0006,115.0
748,-1.7035,43.2155,161.0
749,-1.8666,43.1841,69.0
750,-1.5746,43.1719,46.0
751,-1.481,43.2452,23.0
752,-1.8638,43.0961,46.0
753,-1.6194,43.073,23.0
754,-1.461,43.1208,69.0
755,-2.0608,42.8688,23.0
756,-1.9666,42.9841,69.0
757,-1.8249,42.8685,69.0
758,-1.6019,42.9911,46.0
759,-1.281,42.9397,23.0
760,-1.3466,42.9783,23.0
761,-1.126,42.9572,69.0
762,-1.081,42.9083,46.0
763,-1.0946,42.8658,23.0
764,-0.8252,42.8741,23.0
765,-2.17,42.8341,69.0
766,-1.8619,42.7841,23.0
767,-1.6671,42.8135,69.0
768,-1.7141,42.7327,92.0
769,-1.5555,42.7508,69.0
770,-1.4916,42.8327,46.0
771,-1.3824,42.7655,69.0
772,-1.186,42.7041,69.0
773,-0.8604,42.8124,23.0
774,-1.0866,42.6785,23.0
775,-0.9938,42.7035,69.0
776,-2.0041,42.6563,23.0
777,-1.6305,42.6063,46.0
778,-1.4068,42.6299,46.0
779,-1.3638,42.628,23.0
780,-1.2105,42.6166,46.0
781,-2.35,42.4841,23.0
782,-1.4944,42.3299,575.0
783,-2.35,42.0674,23.0
784,-2.0333,42.4077,69.0
785,-1.4999,42.2507,1633.0
786,-1.7958,42.3874,621.0
787,-1.7666,43.0091,23.0
788,-2.2,42.8674,23.0
789,-2.175,42.8591,23.0
790,-1.6333,42.7841,46.0
791,-1.6333,42.6508,46.0
792,-1.3332,42.6841,46.0
793,-8.067,42.4507,46.0
794,-6.9669,42.4008,184.0
795,-6.9836,42.3507,115.0
796,-7.7336,42.3341,115.0
797,-7.6003,42.3174,23.0
798,-7.6503,42.2341,23.0
799,-7.4836,42.3341,23.0
800,-7.5003,42.3007,23.0
801,-7.3628,42.1924,184.0
802,-7.2669,42.2341,138.0
803,-7.0336,42.2341,23.0
804,-8.067,42.1341,23.0
805,-7.8169,42.0841,345.0
806,-7.7503,42.0674,23.0
807,-7.4503,42.0507,46.0
808,-7.3044,42.1174,207.0
809,-6.9836,42.0507,23.0
810,-8.1003,41.9507,207.0
811,-6.8927,42.4633,23.0
812,-4.4334,43.0008,23.0
813,-4.7668,42.6341,23.0
814,-4.7183,42.0674,138.0
815,-4.7001,42.1007,23.0
816,-4.6334,42.0341,138.0
817,-4.6334,42.0674,1564.0
818,-8.717,42.6771,828.0
819,-8.567,42.6841,529.0
820,-8.317,42.7508,368.0
821,-8.1003,42.7174,138.0
822,-8.7003,42.6508,299.0
823,-8.6871,42.6548,460.0
824,-8.6861,42.6548,46.0
825,-8.6503,42.5674,322.0
826,-8.5503,42.5341,460.0
827,-8.3503,42.5674,253.0
828,-8.117,42.6508,161.0
829,-8.167,42.6008,460.0
830,-7.9336,42.6341,138.0
831,-8.767,42.5007,460.0
