,Longitude,Latitude,Silt [%]
780,-3.9028,41.6507,11.5
781,-3.3334,42.3674,54.0
782,-3.5417,42.0674,29.0
783,-3.3167,42.0174,41.3
784,-3.125,41.9341,18.0
785,-3.1333,42.3091,46.0
786,-3.2195,42.3007,57.0
787,-3.4393,42.0626,59.5
788,-3.3806,41.8923,9.9
789,-2.9667,41.9674,31.0
790,-3.6583,41.9481,37.0
791,-3.1861,42.3341,36.5
792,-3.7336,42.6247,51.5
793,-3.1153,42.6675,42.0
794,-3.7483,42.6267,68.0
795,-4.7445,40.4618,12.5
796,-4.5325,40.3259,24.0
797,-4.5319,40.3148,25.0
798,-4.5258,40.3245,24.0
799,-5.0086,40.2759,24.0
800,-5.0097,40.3031,22.0
801,-4.5533,42.4822,39.1
802,-4.5889,42.4981,33.9
803,-4.7444,42.5314,37.6
804,-4.4755,42.5437,38.1
805,-4.5208,42.5336,29.3
806,-4.5472,42.5934,43.0
807,-4.5417,42.5892,43.2
808,-4.5361,42.5831,40.1
809,-4.8111,42.4675,54.2
810,-4.9181,42.687,34.4
811,-4.9078,42.6939,19.2
812,-5.2339,42.7818,21.3
813,-4.95,42.6481,22.5
814,-4.9167,42.6989,22.5
815,-4.8361,42.655,45.7
816,-5.2551,42.7363,15.5
817,-5.2584,42.7061,12.0
818,-5.7342,42.6856,16.8
819,-5.6922,42.7875,20.4
820,-5.6778,42.7858,23.5
821,-5.6931,42.7772,13.6
822,-5.6806,42.7884,10.1
823,-5.6805,42.7842,11.0
824,-4.0042,40.7877,26.4
825,-4.0112,40.7707,33.8
826,-4.049,40.7596,23.4
827,-4.0684,40.7735,32.4
828,-4.1421,40.6231,16.5
829,-4.1672,40.6008,25.3
830,-4.1357,40.63,28.9
831,-4.1538,40.65,20.6
832,-4.0276,40.7338,37.6
833,-4.0812,40.7315,25.3
834,-4.156,40.6045,20.8
