,Longitude,Latitude,K [mg/kg]
740,-2.6436,41.4202,167.0
741,-4.0126,39.8215,263.0
742,-3.9917,39.8423,42.0
743,-6.4196,42.1799,110.0
744,-2.7333,42.6841,155.0
745,-1.6333,39.8007,58.0
746,-4.4167,40.8507,45.0
747,-4.4667,40.734,109.0
748,-3.2334,41.0174,340.0
749,-4.2501,40.784,101.0
750,-4.5334,39.7173,185.0
751,-2.6,40.7675,98.0
752,-3.5978,39.3426,162.0
753,-4.1994,40.6714,60.0
754,-5.3835,39.634,43.0
755,-3.9834,40.9674,299.0
756,-2.8666,41.0913,86.0
757,-3.3334,41.9174,86.0
758,-4.7334,39.4173,46.0
759,-1.2999,42.0674,373.0
760,-3.6167,42.8841,140.0
761,-3.7233,38.5773,59.0
762,-2.6019,40.5718,329.0
763,-4.8644,40.5681,59.0
764,-4.9668,40.4007,252.0
765,-4.5063,40.8852,99.0
766,-3.9334,41.3507,26.0
767,-2.6025,41.0682,30.0
768,-3.1781,40.5814,170.0
769,-2.016,39.8629,300.0
770,-5.8075,39.9601,189.0
771,-3.9277,41.0166,56.0
772,-4.5261,40.4038,146.0
773,-1.509,41.0895,171.0
774,-2.808,41.1912,126.0
775,-5.7485,40.2182,712.0
776,-4.7769,41.5239,11.0
777,-3.2087,41.1993,255.0
778,-4.3953,40.3412,59.0
779,-1.5697,40.4836,106.0
780,-4.5616,40.9765,22.0
781,-3.1333,41.2007,123.0
782,-2.598,40.6398,77.0
783,-5.1547,41.6963,88.0
784,-2.4788,40.0641,594.0
785,-3.679,40.5363,86.0
786,-3.9285,40.7598,98.0
787,-2.6734,41.8728,40.0
788,-4.4673,39.3351,72.0
789,-4.6635,41.3343,90.0
790,-4.6031,41.4054,145.0
791,-3.2017,40.1012,68.0
792,-5.1672,41.4412,33.0
793,-4.9745,40.4089,123.0
794,-6.5027,42.1,41.0
795,-1.8571,40.1839,80.0
796,-3.5506,40.3263,160.0
797,-1.7117,40.541,75.0
798,-3.8891,40.8898,54.0
799,-4.3834,39.5173,263.0
800,-3.6,38.534,73.0
801,-4.4501,40.7507,208.0
802,-3.4826,41.148,75.0
