,Longitude,Latitude,P [mg/kg]
556,-3.1861,42.3341,2.5
557,-4.7445,40.4618,2.6
558,-4.0042,40.7877,269.0
559,-4.0112,40.7707,260.0
560,-4.049,40.7596,300.0
561,-4.0684,40.7735,300.0
562,-4.1421,40.6231,300.0
563,-4.1672,40.6008,300.0
564,-4.1357,40.63,300.0
565,-4.1538,40.65,43.0
566,-4.0276,40.7338,300.0
567,-4.0812,40.7315,266.0
568,-4.156,40.6045,277.0
569,-4.199,40.5663,165.0
570,-4.1775,40.5818,129.0
571,-4.1768,40.5773,300.0
572,-4.1378,40.7088,300.0
573,-4.002,40.689,79.0
574,-4.0042,40.6901,16.0
575,-4.0565,40.7732,300.0
576,-4.1349,40.6156,166.0
577,-4.114,40.641,300.0
578,-4.0322,40.7328,300.0
579,-4.0801,40.7438,300.0
580,-4.1689,40.5976,241.0
581,-4.0392,40.6926,105.0
582,-4.0161,40.5779,265.0
583,-4.0051,40.6751,172.0
584,-3.9688,40.577,300.0
585,-4.1118,40.614,300.0
586,-4.0389,40.6899,125.0
587,-4.0825,40.589,300.0
588,-4.0101,40.6774,163.0
589,-3.9609,40.6036,187.0
590,-3.9603,40.5581,142.0
591,-4.0239,40.5094,150.0
592,-4.0341,40.517,87.0
593,-3.9767,40.5517,34.0
594,-3.9217,40.9318,69.0
595,-3.8385,40.8323,300.0
596,-3.8041,40.83,300.0
597,-3.7688,40.8537,100.0
598,-3.7762,40.8771,300.0
599,-3.7864,40.9401,300.0
600,-3.6427,40.9436,61.0
601,-3.7987,40.9742,300.0
602,-3.7475,41.0126,300.0
603,-3.8739,40.909,293.0
604,-3.9601,40.816,300.0
605,-3.9139,40.8329,300.0
606,-3.6753,41.0556,220.0
607,-3.8534,40.7867,89.0
608,-3.9992,40.8549,128.0
609,-4.0167,40.8674,208.0
610,-4.0462,40.8451,166.0
611,-3.9072,41.018,221.0
612,-4.1794,40.7079,178.0
613,-3.8443,41.0047,300.0
614,-3.807,41.0237,170.0
615,-3.8394,41.0622,283.0
616,-4.1256,40.7401,300.0
617,-4.1278,40.7732,300.0
618,-4.1759,40.7066,300.0
619,-4.0964,40.7785,300.0
620,-4.0937,40.7976,300.0
621,-4.187,40.7082,300.0
622,-3.8394,41.0145,300.0
623,-3.7992,40.9978,88.0
624,-3.8114,41.0126,195.0
625,-3.6125,41.1507,289.0
626,-3.5939,41.1638,300.0
627,-3.6935,41.0861,259.0
628,-3.7124,41.0887,300.0
629,-3.6565,41.1548,300.0
630,-3.6789,41.1083,300.0
631,-3.6843,41.1114,300.0
632,-3.6654,41.1318,300.0
633,-3.8608,41.0598,247.0
634,-3.8557,41.063,248.0
635,-4.0037,40.8821,188.0
636,-4.0439,40.88,263.0
637,-3.4861,38.4315,1.0
638,-4.4167,39.0007,1.6
639,-3.7,39.234,2.8
640,-4.5334,39.134,1.0
641,-4.4195,39.4007,1.0
642,-1.8666,40.2174,1.0
643,-2.3666,40.084,1.0
644,-2.8591,40.1553,1.3
645,-1.9505,40.4479,2.3
646,-1.6556,40.0037,2.4
647,-1.9244,40.3305,9.0
648,-2.161,39.6297,6.1
649,-2.15,40.2507,6.6
650,-2.3666,40.384,4.0
651,-2.3,40.7507,31.7
652,-2.3666,41.0174,1.9
653,-2.9808,40.3174,17.0
654,-1.9999,40.6674,18.1
